username,start_date,end_date
Vogone,04/12/2013,01/01/2018
Bene*,04/12/2013,09/01/2016
Legoktm,04/17/2013,03/01/2015
Ymblanter,04/30/2013,01/01/2018
The Anonymouse,12/10/2013,07/07/2014
Lymantria,06/08/2017,01/01/2018
