"bot_name"
"AGbot"
"AHbot"
"APSbot"
"ASammourBot"
"Addbot"
"AinaliBot"
"AkBot"
"AkkakkBot"
"AlepfuBot"
"AliciaFagervingWMSE-bot"
"AlphamaBot"
"AmpersandBot"
"AndreCostaWMSE-bot"
"Aplikasi-Bot"
"Atobot"
"AudeBot"
"AvocatoBot"
"AyackBot"
"B0ttle"
"BMacZeroBot"
"BacDiveBot"
"BalajijagadeshBot"
"BaluBot"
"BaseBot"
"BeneBot* (talk"
"BetaBot"
"BinBot"
"BotMultichill"
"BotMultichillT"
"BotNinja"
"BotOrienteerix"
"Botapyb"
"Botcrux"
"Botik"
"BoulaurBot"
"BrackiBot"
"BraunBot"
"BraveBot"
"Byrialbot"
"CalakBot"
"CaliburnBOT"
"CanaryBot"
"Catabot"
"CennoBot"
"CensusBot"
"Cewbot"
"Checkallthestrings bot"
"Chembot"
"Chobot"
"Choboty"
"Citing Bot"
"CommonsDelinker"
"Cyberbot I"
"D2-bot"
"DBpedia-mapper-bot"
"DSisyphBot"
"DangSunBot"
"DangSunBot2"
"DanmicholoBot"
"Dcirovicbot"
"DeltaBot"
"Dexbot"
"DidymBot"
"DimaBot"
"Dipsacus fullonum bot"
"DixonDBot"
"Docu w. script"
"Dom bot"
"Donna Nobot"
"DrTrigonBot"
"DæghrefnBot"
"Ebrambot"
"EdgarsBot"
"EdinBot"
"Edoderoobot"
"EloBot"
"EmausBot"
"Emijrpbot"
"EranBot"
"Escabot"
"Escarbot"
"FLOSSbot"
"Faebot"
"FischBot"
"Flow talk page manager"
"Fluxbot"
"Framabot"
"Frettiebot"
"FrigidBot"
"FuzzyBot"
"GPUBot (blocked)"
"GZWDer (flood) (talk"
"GeneaBot"
"Github-wiki-bot"
"Glavkos bot"
"Goo1Bot (blocked)"
"GrammarwareBot"
"Gzen92Bot"
"HannolansBot"
"Hawk-Eye-Bot"
"HaxpettBot"
"Hazard-Bot"
"Hoo Bot"
"HuskyBot"
"HypoBOT"
"InductiveBot"
"InfoRobBot"
"InkoBot"
"InwBot"
"JAnDbot"
"JVbot"
"JWbot"
"JYBot"
"JackieBot"
"Jane023bot"
"JarBot"
"Jeblad (bot) (talk"
"JhealdBatch"
"JhsBot"
"JneubertAutomated"
"JoRobot"
"KLBot2"
"KRLS Bot"
"KaldariBot"
"KasparBot"
"Kompakt-bot"
"KrBot"
"Krdbot"
"L PBot"
"LandesfilmsammlungBot"
"Legobot"
"Liangent-bot"
"LinkRecoveryBot"
"Lisp.hippie.bot"
"ListeriaBot"
"LocatorBot"
"Louperibot"
"Luuvabot"
"MBAreaBot"
"MagulBot"
"MahdiBot"
"Maintenance script"
"MajedBot"
"Makecat-bot"
"Makrobot"
"MalarzBOT"
"MatSuBot"
"MatmaBot"
"Mbchbot"
"MdupontDataBot"
"MechQuesterBot"
"MedalBot"
"MediaWiki default"
"MediaWiki message delivery"
"MerlIwBot"
"MexBot"
"MicrobeBot"
"MidleadingBot"
"Miguillen-bot"
"Mikey641Bot"
"MilanBot"
"MineoBot"
"Mjbmrbot"
"Mr.Ibrahembot"
"Nicolas1981Bot"
"NikkiBot"
"NoclaimsBot"
"Nullzerobot"
"OctraBot"
"Or1Bot"
"OrlodrimBot"
"PBot"
"PLbot"
"PajnBot"
"Pathwaybot"
"Peter17-Bot"
"Pigsonthewing-bot"
"PingWDbot"
"Polish Monuments"
"Popcornbot"
"PoulpyBot"
"PreferentialBot"
"ProgvalInfoboxBot"
"ProteinBoxBot"
"QuickStatementsBot"
"Ra-bot-nik"
"RaymondYeeBot"
"ReimannBot"
"Reinheitsgebot"
"Research Bot"
"Revibot"
"Rezabot"
"RileyBot"
"Robbot"
"RoboViolet"
"RobotMichiel1972"
"RollBot"
"Ruud Koot (bot) (talk"
"S205643bot"
"SDrewthbot"
"SKbot"
"SLiuBot"
"SamoaBot"
"Sanjeev bot"
"SanniBot"
"Sarojbot"
"SaschaBot"
"SbisoloBot"
"SergoBot"
"ShinobiBot"
"ShonagonBot"
"Shuaib-bot"
"Shyde"
"Sk!dbot"
"Smbbot"
"SoCalChemBot"
"SourcererBot"
"SpBot"
"StackerBot"
"Steenthbot"
"SteinsplitterBot"
"StigBot"
"Strainubot"
"StrynBot"
"SuccuBot"
"SweetBot"
"Symac bot"
"TambonBot"
"TaxonBot"
"TemirovBot"
"The Anomebot 3"
"The Anonybot"
"Thebot"
"ThieolBot"
"TokokoBot"
"TptBot"
"Translation Notification Bot"
"UnderlyingBot"
"UrbanecmBot"
"UreomiczBot"
"VIAFbot"
"ValterVBot"
"VesihiisiBot"
"ViscoBot"
"VollBot"
"VsBot"
"WYImporterBot"
"WapBot"
"Wasabot"
"Whymbot"
"Widar of zolo"
"WikiDataScapeBot"
"WikiGrok"
"Wizzo-Bot"
"WylveWidar"
"XXN-bot"
"Xaris333Bot"
"YasBot"
"ZaBOTka"
"ZedlikBot"
"ZiyadBot"
"ZkBot"
"ÖdokBot"
"Աշբոտ"
"1-Byte-Bot"
"1VeertjeBot"
"AeroidBot"
"Ajrbot"
"AlepfuBot"
"Alleycatbot"
"Antoine2711bot"
"AvicBot"
"AxelBot"
"BacterialAnnotationBot"
"BernsteinBot"
"Bigbossrobot"
"BonifazWolbot"
"BotOrienteerix"
"Bovlbbot"
"BraunBot"
"Butlerbot"
"Checkallthestrings bot"
"Cheers!-bot"
"CommonsDelinquent"
"ConBot"
"Csvtodata"
"CultureBot"
"Dafna3.bot"
"Danroks bot"
"DarafshBot"
"DbBot"
"Descriptioncreator"
"Deskanabot"
"DidymBot"
"DynBot Srv2"
"Dɐ-Bot"
"ElphiBot"
"Envlhbot"
"Fabris Los"
"Faebot"
"Fako85bot"
"Fatemibot"
"FischBot-test"
"FloBot"
"GanimalBot"
"Gerakibot"
"Glavkos bot"
"Global Economic Map Bot"
"Gzen92Bot"
"HaroldBot"
"HaxpettBot"
"Hkn-bot"
"Hurricanefan25 in the storm"
"IDbot"
"InductiveBot"
"InfoRobBot"
"Innocent bot"
"JanitorBot"
"JarektBot"
"Jefft0Bot"
"JhealdBot"
"JohlBot"
"JoRobot"
"KamikazeBot"
"Kartṛ-bot"
"KoehlBot"
"KrattBot1"
"KRLS Bot"
"KunMilanoRobot"
"Lanbot"
"Lansbot"
"LinedBot"
"LinkRecoveryBot"
"Lockalbot"
"MABot"
"Manuvinabot"
"MarmaseBot"
"MastiBot"
"MedalBot"
"MenoBot"
"MergeBot"
"MerlBot"
"Mk-II"
"Mro-bot"
"Mro-bot"
"MuBot"
"Mush bot"
"PavloChemBot"
"Persian Wikis Janitor Bot"
"Phenobot"
"Ping08Bot"
"PingWDbot"
"PokestarFanBot"
"ProgvalInfoboxBot"
"R2-D2 Bot"
"Rebot"
"RileyBot"
"RobokoBot"
"RobotRobin"
"Rodrigo Padula (BOT)"
"S205643bot"
"SaamDataImportBot"
"Sarojbot"
"Scorumbot"
"ShBot"
"SKbot"
"Snow22Bot"
"SPQRobot"
"Structor"
"SvebertBot"
"Svenbot"
"SweetBot"
"Thebot"
"Theo's Little Bot"
"ThetaBot"
"TokokoBot"
"Twofivesixbot"
"Ugbot"
"UreomicsBot"
"US National Archives bot"
"UVbot"
"Vadbot"
"VlsergeyBot"
"Wakebrdkid's bot"
"Wasabot"
"Whymbot"
"WikiDataScapeBot"
"WikiGrok"
"WikiLovesESBot"
"User talk:Xaris333Bot"
"Xqbot"
"YuatchaBot"
"Yuibot"
"ZacheBot"
"ZbwAddAuthorityBot"
"Zielmicha Bot"
"ZiyadBot"
"레비:봇"
"BeneBot*"
"GPUBot"
"Checkallthestrings"
"Dipsacus fullonum"
"GZWDer"
"Jeblad"
"Ruud Koot"
"KrattBot"
"RobotGMwikt"
